Customer ID,Customer Name,Region,Sales Rep,Product,Lead Source,Deal Size (USD),Deal Date
1a2a73ed-562b-4f79-8374-59eef50bea63,"Tapia, Vaughn and Lee",North America,Noah Rhodes,Analytics Pro,Cold Call,17483.57,2024-09-09
5be6128e-18c2-4797-a142-ea7d17be3111,"Washington, Hardy and Bray",North America,Angie Henderson,RevOps Tracker,Referral,14308.68,2024-07-21
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,"Carlson, Hooper and Wall",Asia,Allison Hill,DataViz Suite,Cold Call,18238.44,2024-09-02
759cde66-bacf-43d0-8b1f-9163ce9ff57f,Perez-White,Europe,Connie Lawrence,BI Booster,Referral,22615.15,2025-06-03
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,Erickson and Sons,Europe,Angie Henderson,DataViz Suite,Referral,13829.23,2025-03-01
4b0dbb41-8d52-48f1-942c-3fe860e7a113,Williams-Brown,Europe,Abigail Shaffer,RevOps Tracker,Webinar,13829.32,2025-03-29
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,Terry-Martinez,North America,Angie Henderson,RevOps Tracker,Inbound Website,22896.06,2025-05-08
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,Garcia-Smith,North America,Allison Hill,BI Booster,Referral,18837.17,2024-12-26
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Harrison-Alexander,Africa,Cristian Santos,RevOps Tracker,Webinar,12652.63,2024-07-22
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,Sheppard LLC,North America,Connie Lawrence,BI Booster,Cold Call,17712.8,2024-08-27
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,Wilson-Jones,North America,Allison Hill,RevOps Tracker,Webinar,12682.91,2024-08-04
7412b293-4729-4739-a14f-f3d719db3ad0,Jones-Soto,North America,Connie Lawrence,RevOps Tracker,Cold Call,12671.35,2024-10-08
29a3b2e9-5d65-4441-9588-42dea2bc372f,Hernandez PLC,Europe,Daniel Wagner,BI Booster,Inbound Website,16209.81,2025-05-07
ab9099a4-35a2-40ae-9af3-05535ec42e08,Miller-Wright,Europe,Daniel Wagner,RevOps Tracker,Referral,5433.6,2025-03-16
aefcfad8-efc8-4849-b3aa-7efe4458a885,"Duran, Obrien and Gibbs",North America,Noah Rhodes,RevOps Tracker,Email Campaign,6375.41,2024-11-28
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,Rowe Group,Europe,Connie Lawrence,RevOps Tracker,Cold Call,12188.56,2024-11-26
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,Kerr-Evans,Africa,Abigail Shaffer,DataViz Suite,Referral,9935.84,2024-12-04
451b4cf3-6123-4df7-b656-af7229d4beef,"Branch, Torres and Oliver",Europe,Angie Henderson,Analytics Pro,Email Campaign,16571.24,2025-02-14
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,"Choi, Garcia and Farmer",Africa,Daniel Wagner,DataViz Suite,Email Campaign,10459.88,2024-07-21
5304317f-af42-412f-b838-b3268e944239,"Clark, Guerrero and Moore",Asia,Angie Henderson,RevOps Tracker,Cold Call,7938.48,2025-02-28
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,Arnold and Sons,North America,Angie Henderson,Analytics Pro,Referral,22328.24,2024-09-06
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Ortiz Ltd,Europe,Abigail Shaffer,DataViz Suite,Email Campaign,13871.12,2025-03-29
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,"Harrison, Johnson and Roberts",Africa,Allison Hill,DataViz Suite,Webinar,15337.64,2024-12-30
9132b63e-f162-47e4-a9c3-49e03602f8ac,Warner-Gibson,Asia,Angie Henderson,DataViz Suite,Webinar,7876.26,2024-11-30
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,"Hall, Baker and Moody",Asia,Connie Lawrence,BI Booster,Referral,12278.09,2024-11-30
